Acetobacter aceti
Acholeplasma laidlawii
Acidithiobacillus albertensis
Acidithiobacillus caldus
Acidovorax caeni
Acidovorax delafieldii
Acidovorax facilis
Acinetobacter guillouiae
Acinetobacter johnsonii
Acinetobacter lwoffii
Acinetobacter rhizosphaerae
Acinetobacter schindleri
Acinetobacter venetianus
Actinoallomurus iriomotensis
Actinobacillus parahaemolyticus
Actinobacillus porcinus
Actinokineospora diospyrosa
Actinomadura vinacea
Actinomyces europaeus
Actinomyces hyovaginalis
Aggregatibacter pneumotropica
Aggregatibacter segnis
Agrobacterium sullae
Agrobacterium undicola
Agrobacterium vitis
Agrococcus jenensis
Agromyces mediolanus
Akkermansia muciniphila
Alcanivorax dieselolei
Alcanivorax venustensis
Algibacter lectus
Aliivibrio fischeri
Alkalibacterium iburiense
Alkaliphilus transvaalensis
Allochromatium vinosum
Alloiococcus otitis
Ammoniphilus oxalaticus
Amycolatopsis lactamdurans
Amycolatopsis thermoflava
Anabaena cylindrica
Anaerospora hongkongensis
Aneurinibacillus migulanus
Anoxybacillus kestanbolensis
Aquitalea magnusonii
Archaeoglobus fulgidus
Archaeoglobus veneficus
Arcobacter cryaerophilus
Ardenscatena maritimus
Arthrobacter crystallopoietes
Arthrobacter psychrolactophilus
Arthrospira fusiformis
Asticcacaulis biprosthecium
Atopobium rimae
Avibacterium gallinarum
Azorhizobium doebereinerae
Azospirillum brasilense
Bacillus acidicola
Bacillus asahii
Bacillus badius
Bacillus clausii
Bacillus coagulans
Bacillus cohnii
Bacillus endophyticus
Bacillus farraginis
Bacillus firmus
Bacillus flexus
Bacillus foraminis
Bacillus fumarioli
Bacillus ginsengihumi
Bacillus halodurans
Bacillus horikoshii
Bacillus humi
Bacillus longiquaesitum
Bacillus marisflavi
Bacillus muralis
Bacillus oleronius
Bacillus safensis
Bacillus selenatarsenatis
Bacillus thermoamylovorans
Bacillus trypoxylicola
Bacteroides acidifaciens
Bacteroides barnesiae
Bacteroides caccae
Bacteroides coprophilus
Bacteroides coprosuis
Bacteroides eggerthii
Bacteroides fragilis
Bacteroides ovatus
Bacteroides plebeius
Bacteroides uniformis
Bartonella bacilliformis
Bartonella washoensis
Bdellovibrio bacteriovorus
Beijerinckia indica
Bibersteinia trehalosi
Bifidobacterium adolescentis
Bifidobacterium animalis
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium longum
Bifidobacterium pseudolongum
Bifidobacterium thermacidophilum
Blastococcus aggregatus
Blastomonas natatoria
Blautia obeum
Blautia producta
Borrelia burgdorferi
Bosea genosp.
Brachybacterium conglomeratum
Bradyrhizobium elkanii
Brenneria quercina
Brevibacillus invocatus
Brevibacillus laterosporus
Brevibacillus reuszeri
Brevibacillus thermoruber
Brevibacterium aureum
Brevibacterium casei
Brevibacterium paucivorans
Brevundimonas diminuta
Bulleidia hoa12_73A10
Bulleidia moorei
Bulleidia p-1630-c5
Burkholderia andropogonis
Burkholderia bryophila
Burkholderia gladioli
Burkholderia glathei
Burkholderia graminis
Burkholderia tuberum
Caldicellulosiruptor saccharolyticus
Campylobacter fetus
Campylobacter rectus
Campylobacter subantarcticus
Campylobacter ureolyticus
Capnocytophaga canimorsus
Capnocytophaga ochracea
Cardiobacterium valvarum
Carnobacterium viridans
Catenibacterium mitsuokai
Caulobacter henricii
Cellulomonas uda
Cellulomonas xylanilytica
Cellulophaga lytica
Cenarchaeum symbiosum
Cetobacterium somerae
Chelonobacter Taxon
Chitinophaga arvensicola
