GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Abiotrophia			45:802*	gen. nov. (VP)	Kawamura et al. 1995				514986	
Abiotrophia	adiacens		45:802*	comb. nov. (VP), homotypic syn.	(Bouvet et al. 1989) Kawamura et al. 1995		2	ATCC 49175, CIP 103243, DSM 9848, GaD	772466	776611
Abiotrophia	balaenopterae		49:505*	sp. nov. (VP)	Lawson et al. 1999			CCUG 37380, M1975/96/1, DSM 15827	772467	776612
Abiotrophia	defectiva		45:802*	comb. nov. (VP)	(Bouvet et al. 1989) Kawamura et al. 1995		2	ATCC 49176, CIP 103242, DSM 9849, SC10	772468	
Abiotrophia	elegans		49:1	sp. nov. (VL)	Roggenkamp et al. 1999		2	B1333, DSM 11693	772469	776613
Abyssicoccus			66:4299	gen. nov. (VL)	Jiang et al. 2016				518960	
Abyssicoccus	albus		66:4299	sp. nov. (VL)	Jiang et al. 2016			YIM M12140, DSM 29158, CCTCC AB 2014213	794216	
Abyssivirga			66:1732*	gen. nov. (VP)	Schouw et al. 2016				518931	
Abyssivirga	alkaniphila		66:1732*	sp. nov. (VP)	Schouw et al. 2016			L81, DSM 29592, JCM 30920	794021	
Acanthopleuribacter			58:2600*	gen. nov. (VP)	Fukunaga et al. 2008				517824	
Acanthopleuribacter	pedis		58:2600*	sp. nov. (VP)	Fukunaga et al. 2008		1	FYK2218, KCTC 12899, NBRC 101209	787601	
Acaricomes			56:468*	gen. nov. (VP)	Pukall et al. 2006				514988	
Acaricomes	phytoseiuli		56:468*	sp. nov. (VP)	Pukall et al. 2006		1, n2	CCUG 49701, CSC, DSM 14247	772478	
Acetanaerobacterium			54:2261*	gen. nov. (VP)	Chen and Dong 2004				517160	
Acetanaerobacterium	elongatum		54:2261	sp. nov. (VL)	Chen and Dong 2004		1	AS 1.5012, JCM 12359, Z7	783232	
Acetatifactor			63:1	gen. nov. (VL)	Pfeiffer et al. 2013	belongs to the <i>Clostridium</i> cluster XIV			518267	
Acetatifactor	muris		63:1	sp. nov. (VL)	Pfeiffer et al. 2013		1	CT-m2, DSM 23669, ATCC BAA-2170	790255	
Acetitomaculum			45:879	gen. nov. (VL)	Greening and Leedle 1995				514989	
Acetitomaculum	ruminis		45:879	sp. nov. (VL)	Greening and Leedle 1995		1	139B, ATCC 43876, DSM 5522	772479	
Acetivibrio			30:184*	gen. nov. (VP)	Patel et al. 1980 emend. Murray 1986				514990	
Acetivibrio	cellulolyticus		30:184*	sp. nov. (VP)	Patel et al. 1980		1	ATCC 33288, CD2, DSM 1870, NRC 2248	772481	
Acetivibrio	cellulosolvens		34:420*	sp. nov. (VP), heterotypic syn.	Khan et al. 1984	synonymy: IJSB 36:316*	1	BAS, NRC 2936	783233	772481
Acetivibrio	ethanolgignens		31:335*	sp. nov. (VP)	Robinson and Ritchie 1981		2, t	77-6, ATCC 33324, DSM 3005	772482	
Acetivibrio	multivorans		42:191	sp. nov. (VL)	Tanaka et al. 1992		1	ATCC 49731, DSM 6139, PeC1	772483	791457
Acetoanaerobium			35:10*	gen. nov. (VP)	Sleat et al. 1985				517161	
Acetoanaerobium	noterae		35:13*	sp. nov. (VP)	Sleat et al. 1985		1	ATCC 35199, NOT-3	783234	
Acetoanaerobium	pronyense		65:2578*	sp. nov. (VP)	Bes et al. 2015			ST07-YE, DSM 27512, JCM 19400	793068	
Acetoanaerobium	sticklandii		66:5511*	comb. nov. (VP)	(Stadtman and McClung 1957) Galperin et al. 2016		1	HF, ATCC 12662, DSM 519, JCM 1433	794920	
Acetobacter			30:239 (AL)	genus (AL)	Beijerinck 1898				514991	
Acetobacter	aceti		30:239 (AL)	species (AL)	(Pasteur 1864) Beijerinck 1898		1	DSM 3508, IMET 10732, NCIB 8621	772484	
Acetobacter	aceti	aceti	30:239 (AL)	subspecies (AL)	(Pasteur 1864) De Ley and Frateur 1974		1		772485	772484
Acetobacter	aceti	liquefaciens	30:239 (AL)	subspecies (AL)	(Asai 1935) De Ley and Frateur 1974		1	DSM 5603, IAM 1834	772486	776542
Acetobacter	aceti	orleanensis	30:239 (AL)	subspecies (AL)	(Henneberg 1906) De Ley and Frateur 1974		1	ATCC 12876, DSM 4492, IMET 10752, NCIMB 8622	772487	772509
Acetobacter	aceti	xylinum	30:239 (AL)	orthographically incorrect name	(Brown 1886) De Ley and Frateur 1974		1		783235	789888
Acetobacter	aceti	xylinus	30:239 (AL)	subspecies (AL)	(Brown 1886) De Ley and Frateur 1974	nom. corrig.: <I>Acetobacter aceti</I> subsp. <I>xylinum</I> (sic)	1	DSM 6513, NCIB 11664, NCIB 4112B	772488	789888
Acetobacter	cerevisiae		52:1557*	sp. nov. (VP)	Cleenwerck et al. 2002		1	ATCC 23765, DSM 14362, LMG 1625, NCIB 8894	772492	
Acetobacter	cibinongensis		52:3	sp. nov. (VL)	Lisdiyanti et al. 2002		1	4H-1, IFO 16605, JCM 11196, DSM 15549	772493	
Acetobacter	diazotrophicus		39:362*	sp. nov. (VP)	Gillis et al. 1989		1	ATCC 49037, Döbereiner PAI 5, DSM 5601, LMG 7603	772494	776536
Acetobacter	estunensis		51:263	comb. nov. (VL)	(Carr 1958) Lisdiyanti et al. 2001		1	ATCC 23753, DSM 4493, IFO 13751, LMG 1626, NCIMB 8935	772495	
Acetobacter	europaeus		42:656	sp. nov. (VL)	Sievers et al. 1992		1	DES 11, DSM 6160	772496	789887
Acetobacter	fabarum		58:2184*	sp. nov. (VP)	Cleenwerck et al. 2008		1	985, R-36330, DSM 19596, LMG 24244	786649	
Acetobacter	farinalis		61:2563	sp. nov. (VL)	Tanasupawat et al. 2011		1	G360-1, BCC 44845, NBRC 107750, PCU 319	789468	
Acetobacter	ghanensis		57:1651*	sp. nov. (VP)	Cleenwerck et al. 2007		1	R-29337, 430A, LMG 23848, DSM 18895	785827	
Acetobacter	hansenii		33:896	sp. nov. (VL)	Gosselé et al. 1983		1	DSM 5602, NCIB 8746	772497	789891
Acetobacter	indonesiensis		51:263	sp. nov. (VL)	Lisdiyanti et al. 2001		1	5H-1, IFO 16471, JCM 10948, NRIC 0313, LMG 19824, DSM 15552	772498	
Acetobacter	intermedius		48:1083	sp. nov. (VL)	Boesch et al. 1998		1	DSM 11804, TF2	772499	789890
Acetobacter	lambici		64:1088*	sp. nov. (VP)	Spitaels et al. 2014		1	LMG 27439, DSM 27328	791710	
Acetobacter	liquefaciens		33:896	comb. nov. (VL)	(Asai 1935) Gossele et al. 1983		1	ATCC 14835, DSM 5603, IAM 1834, IFO 12388	772501	776542
Acetobacter	lovaniensis		51:263	comb. nov. (VL)	(Frateur 1950) Lisdiyanti et al. 2001		1	ATCC 12875, DSM 4491, IFO 13753, IMET 10734, LMG 1579, NCIMB 8620	772502	
Acetobacter	malorum		52:1557*	sp. nov. (VP)	Cleenwerck et al. 2002		1	DSM 14337, LMG 1746	772503	
Acetobacter	methanolicus		36:321*	sp. nov. (VP)	Uhlig et al. 1986		1	DSM 5432, IMET 10945, MB 58	772506	772593
Acetobacter	musti		66:960*	sp. nov. (VP)	Ferrer et al. 2016			Bo7, DSM 23824, CECT 7722	793848	
