Abiotrophiapara-adiacens
Acetobacterium psammolithicum
Achromobacter cobalamini
Acidianus manzaensis
Acidianus tengchongenses
Acidianus tengchongensis
Acidilobus sulfurireducens
Acidimethylosilex fumarolicum
Acidipila rosea
Acidovorax psychrofacilis
Acinetobacter antiviralis
Acinetobacter kyonggiensis
Acinetobacter marinus
Acinetobacter oleivorans
Acinetobacter oryzae
Acinetobacter seohaensis
Acinetobacter septicus
Acinetobacter venetianus
Actimicrobium antarcticum
Actinomadura albolutea
Actinomadura maheshkhaliensis
Actinomadura melliaura
Actinomadura pulveracea
Actinomadura routienii
Actinomadura spiculosospora
Actinomadura spinosa
Actinomyces houstonensis
Actinoplanes arizonaensis
Actinoplanes coloradoensis
Actinoplanes hulinensis
Actinoplanes teichomyceticus
Actinopolyspora righensis
Actinosporangium bohemicum
Aegyptianella botuliformis
Aegyptianella minutus
Aegyptianella ranarum
Aeromicrobium massiliense
Aeromonas cavernicola
Aeromonas dhakensis
Aestuariihabitans beolgyonensis
Agrobacterium fabrum
Albirhodobacter marinus
Algibacter miyuki
Algorimarina butyrica
Algoriphagus shivajiensis
Aliidiomarina sanyensis
Aliihoeflea aestuarii
Aliidiomarina haloalkalitolerans
Alishewanella solinquinati
Alistipes senegalensis
Alistipes timonensis
Alkalilactibacillus ikkensis
Alkaliphilus metalliredigens
Alkanindiges hongkongensis
Alteromonas infernus
Alteromonas rava
Amphibacillus haojiensis
Ampullariella cylindrica
Ampullariella pilifera
Amycolatopsis jiangsuensis
Anaerobacillus macyae
Anaerospora hongkongensis
Anaerostipes hadrus
Anaplasma odocoilei
Ancylobacter abiegnus
Ancylobacter natronum
Anditalea andensis
Antarcticimonas flava
Aquifex aeolicus
Aquimarina litoralis
Archaeoglobus lithotrophicus
Arenimonas aquaticum
Arsukibacterium ikkense
Arthrobacter crygenae
Arthrobacter dextranlyticum
Aurantimonas litoralis
Averyella dalhousiensis
Azoarcus taiwanensis
Azospirillum palatum
Bacillus coniferum
Bacillus gaemokensis
Bacillus hackensackii
Bacillus hunanensis
Bacillus kyonggiensis
Bacillus manliponensis
Bacillus marcorestinctum
Bacillus nematocida
Bacillus tianmuensis
Bacillus timonensis
Bartonella australis
Bartonella phoceensis
Bartonella rattimassiliensis
Bartonella tamiae
Bhargavaea indica
Bilophococcus magnetotacticus
Blattabacterium clevelandi
Blattabacterium punctulatus
Blattabacterium relictus
Bombiscardovia coagulans
Bordetella ansorpii
Borrelia andersonii
Borrelia barbouri
Borrelia bissettii
Borrelia californiensis
Borrelia carolinensis
Borrelia kurtenbachii
Borrelia lonestari
Borrelia spielmani
Brachyspira corvi
