Acetomicrobium faecalis 
Acidiphilium aminolytica 
Acidiphilium facilis 
Actinobaculum massiliae 
Aerococcus sanguicola 
Alkalibacterium olivoapovliticus 
Anaerorhabdus furcosus 
Anaerovibrio lipolytica 
Anaplasma phagocytophila 
Anoxybacillus pushchinensis 
Azospirillum largomobile 
Bacillus aneurinolyticus 
Bacillus arsenicoselenatis 
Bacillus pallidus (illeg.) 
Bacillus thermoantarcticus 
Bacteriolyticum stolpii 
Bacteroides tectum 
Bartonella schoenbuchii 
Beneckea nereida 
Beneckea nigrapulchrituda 
Bifidobacterium thermophilium 
Brevibacterium lutescens 
Brevibacterium vitaeruminis 
Bryantella formatexigens 
Capsularis zoogleiformans 
Carboxydobrachium pacificum 
Caulobacter leidyia 
Citrobacter diversus 
Clavibacter iranicum 
Clavibacter michiganense 
Clostridium acidiurici 
Clostridium barati 
Clostridium clostridiiforme 
Clostridium fervidus 
Clostridium formicoaceticum 
Clostridium ghoni 
Clostridium intestinalis 
Clostridium irregularis 
Clostridium maximum 
Clostridium purinolyticum 
Clostridium putrificum 
Clostridium sardiniensis 
Clostridium sartagoformum 
Clostridium thermoaceticum 
Clostridium thermoautotrophicum 
Clostridium thermosulfurogenes 
Clostridium ventriculi 
Colwellia psychroerythrus 
Corynebacterium tuscaniae 
Corynebacterium variabilis 
Cyclobacterium marinus 
Defluvibacter lusatiae 
Defluvicoccus vanus 
Desulfobacter giganteus 
Desulfomicrobium baculatus 
Desulforhabdus amnigenus 
Desulfosarcina cetonicum 
Desulfovibrio alcoholovorans 
Desulfovibrio fructosovorans 
Dictyoglomus turgidus 
Edwardsiella anguillimortifera 
Erwinia persicinus 
Filobacillus milensis 
Flavobacterium halmephilium 
Frondicola australicus 
Fusobacterium plauti 
Goodfellowia coeruleoviolacea 
Gordona aichiensis 
Gordona amarae 
Gordona bronchialis 
Gordona hirsuta 
Gordona hydrophobica 
Gordona rubropertinctus 
Gordona sputi 
Gordona terrae 
Gordonia rubropertinctus 
Halobacterium salinarium 
Haloincola saccharolytica 
Halomonas marisflavae 
Halomonas pantelleriense 
Halomonas variabilis 
Halorubrobacterium coriensis 
Hyphomicrobium facilis 
Ketogulonigenium robustum 
Ketogulonigenium vulgare 
Kitasatosporia cystarginea 
Kitasatosporia griseola 
Kitasatosporia mediocidica 
Kitasatosporia phosalacinea 
Kitasatosporia setae 
Klebsiella mobilis 
Lactobacillus rossii 
Legionella bozemanii 
Megamonas hypermegas 
Melisococcus plutonis 
Methanobacterium thermoaggregans 
Methanobacterium thermoalcaliphilum 
Methanobacterium thermoautotrophicum 
Methanoculleus bourgense 
Methanoculleus thermophilicus 
Methanohalobium evestigatus 
Methanohalophilus oregonense 
Methanomicrococcus blatticola 
Methanosaeta thermophila 
Methanosarcina methanica 
Methanospirillum hungatii 
Methanothermobacter wolfei 
Methanothrix thermophila 
Methylothermus subterraneus 
Methylothermus thermalis 
Micromonas micros 
Microsphaera multipartita 
Mitsuokella multiacidus 
Mycoplasma haemosuis 
Mycoplasma phocacerebrale 
Mycoplasma phocarhinis 
Natrialba aegyptiaca 
Nocardia sulphurea 
Nocardioides fastidiosa 
Nocardiopsis compostus 
Nonomuraea dietzii 
Nonomuria africana 
Nonomuria angiospora 
Nonomuria fastidiosa 
Nonomuria ferruginea 
Nonomuria flexuosa 
Nonomuria helvata 
Nonomuria polychroma 
Nonomuria pusilla 
Nonomuria recticatena 
Nonomuria roseola 
Nonomuria roseoviolacea 
Nonomuria rubra 
Nonomuria salmonea 
Nonomuria spiralis 
Nonomuria turkmeniaca 
Novosphingobium aromaticivorum 
Novosphingobium roseae 
Novosphingobium stygiae 
Novosphingobium subterraneae 
Oceanomonas baumannii 
Oceanomonas doudoroffii 
Paenibacillus durum 
Pasteurella bettii 
Pasteurella gallicida 
Pasteurella mairi 
Pectobacterium cacticidum 
Pelczaria aurantia 
Pelotomaculum isophthalicum 
Pelotomaculum terephthalicum 
Pirella marina 
Pirella staleyi 
Prevotella oulora 
Propionibacterium propionicus 
Pseudomonas straminae 
Quadricoccus australiensis 
Ralstonia mannitolytica 
Reichenbachia agariperforans 
Rhizomonas suberifaciens 
Roseomonas rosea 
Ruegeria gelatinovora 
Salipiger mucescens 
Schineria larvae 
Sinococcus qinghaiensis 
Sinorhizobium xinjiangensis 
Sphingobacterium antarcticus 
Sphingobacterium composti. 
Streptimonospora salina 
Streptococcus difficile 
Streptomyces kashmirensis 
Streptomyces morookaensis 
Streptomyces rhizosphaerius 
Streptomyces viridoflavum 
Streptoverticillium olivoreticulum 
Sulfuriferula plumbophilus 
Tannerella forsythensis 
Thermococcus aegaeicus 
Thermodesulfobacterium mobile 
Thermodesulforhabdus norvegicus 
Thermus profundus 
Thialkalicoccus limnaeus 
Thialkalimicrobium aerophilum 
Thialkalimicrobium cyclicum 
Thialkalimicrobium sibiricum 
Thialkalivibrio denitrificans 
Thialkalivibrio halophilus 
Thialkalivibrio jannaschii 
Thialkalivibrio nitratireducens 
Thialkalivibrio nitratis 
Thialkalivibrio paradoxus 
Thialkalivibrio thiocyanoxidans 
Thialkalivibrio versutus 
Thiorhodococcus minus 
Tsukamurella paurometabolum 
Tsukamurella strandjordae 
Verticia sediminum 
Vibrio cyclotrophicus 
Vibrio shiloi 
Virgosporangium aurantiacum 
Virgosporangium ochraceum 
Xenorhabdus japonicus 
Xenorhabdus nematophilus 
Yania flava 
Yania halotolerans 
Zobellia galactanovorans 
