Acetobacter aceti xylinum
Clavibacter michiganense insidiosum
Clavibacter michiganense michiganense
Clavibacter michiganense nebraskense
Clavibacter michiganense sepedonicum
Clavibacter michiganense tessellarius
Haloincola saccharolytica saccharolytica
Haloincola saccharolytica senegalensis
Hyphomicrobium facilis facilis
Hyphomicrobium facilis tolerans
Hyphomicrobium facilis ureaphilum
Saccharothrix aerocolonigenes staurosporeus
Staphylococcus capitis ureolyticus
Streptoverticillium reticulum protomycicum
Streptoverticillium verticillium quintum
Streptoverticillium verticillium tsukushiense
Xenorhabdus nematophilus beddingii
Xenorhabdus nematophilus bovienii
Xenorhabdus nematophilus nematophilus
Xenorhabdus nematophilus poinarii
