Acetobacter	aceti	xylinum	30:239 (AL)	orthographically incorrect name	(Brown 1886) De Ley and Frateur 1974		1		783235	789888
Acetomicrobium	faecalis		38:136	orthographically incorrect name	Winter et al. 1988	nom. corrig. IJSB 48:1073*	1		783245	793305
Acidiphilium	aminolytica		44:182	orthographically incorrect name	Kishimoto et al. 1994	nom. corrig. IJSB 48:1073*	1		783266	772591
Acidiphilium	facilis		36:200*	orthographically incorrect name	Wichlacz et al. 1986	nom. corrig. IJSB 48:1073*	1		783269	783273
Actinobaculum	massiliae		56:2025	orthographically incorrect name	Greub and Raoult 2006		2		785515	785464
Aerococcus	sanguicola		51:478*	orthographically incorrect name	Lawson et al. 2001		1, +		783326	772879
Alkalibacterium	olivoapovliticus		51:1169*	orthographically incorrect name	Ntougias and Russell 2001		1		783347	773070
Anaerorhabdus	furcosus		36:573	orthographically incorrect name	(Veillon and Zuber 1898) Shah and Collins 1986		2		783372	783371
Anaerovibrio	lipolytica		30:250 (AL)	orthographically incorrect name	Hungate 1966		1		783373	773265
Anaplasma	phagocytophila		51:2158*	orthographically incorrect name	(Foggie 1949) Dumler et al. 2001		2, ht		783379	783380
Anoxybacillus	pushchinensis		50:2116*	orthographically incorrect name	Pikuta et al. 2000		1		783389	773291
Azospirillum	largomobile		47:915	orthographically incorrect name	(Skerman et al. 1983) Ben Dekhil et al. 1997		1		783408	773595
Bacillus	aneurinolyticus		44:146*	orthographically incorrect name	Shida et al. 1994		1		783418	773274
Bacillus	arsenicoselenatis		51:793	orthographically incorrect name	Switzer Blum et al. 2001		1		783419	788508
Bacillus	pallidus (illeg.)		58:2853*	sp. nov. (VP), illegitimate name	Zhou et al. 2008		1	CW 7, CCTCC AB 207188, KCTC 13200, LMG 24451	787653	788283
Bacillus	thermoantarcticus		52:3	orthographically incorrect name	Nicolaus et al. 2002		1		783436	789975
Bacteriolyticum			58:1208*	gen. nov. (VP), illegitimate name	Piñeiro et al. 2008	The name is illegitimate, as the type species of <i>Bacteriovorax</i>,<i>Bacteriovorax stolpii</i>, cannot be designated as the type species of another genus (Bacteriological Code, Principle 1, Rule 15, Rule 37a and Rule 51b (1))			517790	516976
Bacteriolyticum	stolpii		58:1208*	comb. nov. (VP), illegitimate name	(Seidler et al. 1972) Piñeiro et al. 2008	The name is illegitimate, as the type species of <i>Bacteriovorax</i>, <i>Bacteriovorax stolpii</i>, cannot be designated as a type species to another genus (Bacteriological Code, Principle 1, Rule 15, Rule 37a and Rule 51b (1) )	1	Uki2, ATCC 27052, DSM 12778, DSM 50722	787331	773917
Bacteroides	tectum		36:123*	orthographically incorrect name	Love et al. 1986	nom. corrig. IJSB 48:1073*	2, t		783467	773970
Bartonella	schoenbuchii		51:1563*	orthographically incorrect name	Dehio et al. 2001		2, Z		783489	773985
Beneckea	nereida		30:655*	orthographically incorrect name	Harwood et al. 1980		1		783500	785162
Beneckea	nigrapulchrituda		30:263 (AL)	orthographically incorrect name	Baumann et al. 1971		1		783502	785163
Bifidobacterium	thermophilium		30:265 (AL)	orthographically incorrect name	Mitsuoka 1969	nom. corrig.: IJSB 34:508* but misspelling is retained in AL amended edition 1989	1		783509	774064
Brevibacterium	lutescens		53:1324*	orthographically incorrect name	Wauters et al. 2003		1, +		774221	774220
Brevibacterium	vitaeruminis		30:269 (AL)	orthographically incorrect name	(Bechdel et al. 1928) Breed 1957	correction of species epithet <I>vitarumen</I> to <I>vitaeruminis</I> according to correction of <I>Corynebacterium vitaeruminis</I> has never  been formally proposed	1		783560	775268
Bryantella			54:1	gen. nov. (VL), illegitimate name	Wolin et al. 2004	illegitimate name because it is a later homonym of <I>Bryantella</I> Chickering, 1946 (Animalia, Arthropoda, Arachnida, Araneae, Salticidae, Dendryphantinae, Dendryphantini) and a later homonym of <I>Bryantella</I> Britton, 1957 (Animalia, Arthropoda, Sca			515276	517769
Bryantella	formatexigens		54:1	sp. nov. (VL), illegitimate name	Wolin et al. 2004	illegitimate name because the generic name <I>Bryantella</I> Wolin et al. 2004 is illegitimate (see there)	1	CCUG 46960, DSM 14469, I-52	774259	787817
Capsularis	zoogleiformans		30:271 (AL)	orthographically incorrect name	(Weinberg et al. 1937) Prévot 1938		2, ht		783605	784687
Carboxydobrachium			51:146*	orthographically incorrect name	Sokolova et al. 2001				517196	515289
Carboxydobrachium	pacificum		51:147*	orthographically incorrect name	Sokolova et al. 2001		1		783607	774334
Caulobacter	leidyia		30:272 (AL)	orthographically incorrect name	Poindexter 1964		1		783613	790348
Citrobacter	diversus		30:276 (AL)	species (AL), rejected name, heterotypic syn.	(Burkey 1928) Werkman and Gillen 1932	opinion 67, IJSB 43:392*	2	ATCC 27156, CIP 82.94, DSM 4570	774745	774752
Clavibacter	iranicum		34:113*	orthographically incorrect name	(Carlson and Vidaver 1982) Davis et al. 1984	nom. corrig.	1, p		783644	780338
Clavibacter	michiganense		34:113*	orthographically incorrect name	(Smith 1910) Davis et al. 1984	nom. corrig.	1, p2		783645	774773
