Acetobacter	aceti	xylinum	30:239 (AL)	orthographically incorrect name	(Brown 1886) De Ley and Frateur 1974		1		783235	789888
Acetomicrobium	faecalis		38:136	orthographically incorrect name	Winter et al. 1988	nom. corrig. IJSB 48:1073*	1		783245	793305
Acidiphilium	aminolytica		44:182	orthographically incorrect name	Kishimoto et al. 1994	nom. corrig. IJSB 48:1073*	1		783266	772591
Acidiphilium	facilis		36:200*	orthographically incorrect name	Wichlacz et al. 1986	nom. corrig. IJSB 48:1073*	1		783269	783273
Actinobaculum	massiliae		56:2025	orthographically incorrect name	Greub and Raoult 2006		2		785515	785464
Aerococcus	sanguicola		51:478*	orthographically incorrect name	Lawson et al. 2001		1, +		783326	772879
Alkalibacterium	olivoapovliticus		51:1169*	orthographically incorrect name	Ntougias and Russell 2001		1		783347	773070
Anaerorhabdus	furcosus		36:573	orthographically incorrect name	(Veillon and Zuber 1898) Shah and Collins 1986		2		783372	783371
Anaerovibrio	lipolytica		30:250 (AL)	orthographically incorrect name	Hungate 1966		1		783373	773265
Anaplasma	phagocytophila		51:2158*	orthographically incorrect name	(Foggie 1949) Dumler et al. 2001		2, ht		783379	783380
Anoxybacillus	pushchinensis		50:2116*	orthographically incorrect name	Pikuta et al. 2000		1		783389	773291
Azospirillum	largomobile		47:915	orthographically incorrect name	(Skerman et al. 1983) Ben Dekhil et al. 1997		1		783408	773595
Bacillus	aneurinolyticus		44:146*	orthographically incorrect name	Shida et al. 1994		1		783418	773274
Bacillus	arsenicoselenatis		51:793	orthographically incorrect name	Switzer Blum et al. 2001		1		783419	788508
Bacillus	thermoantarcticus		52:3	orthographically incorrect name	Nicolaus et al. 2002		1		783436	789975
Bacteroides	tectum		36:123*	orthographically incorrect name	Love et al. 1986	nom. corrig. IJSB 48:1073*	2, t		783467	773970
Bartonella	schoenbuchii		51:1563*	orthographically incorrect name	Dehio et al. 2001		2, Z		783489	773985
Beneckea	nereida		30:655*	orthographically incorrect name	Harwood et al. 1980		1		783500	785162
Beneckea	nigrapulchrituda		30:263 (AL)	orthographically incorrect name	Baumann et al. 1971		1		783502	785163
Bifidobacterium	thermophilium		30:265 (AL)	orthographically incorrect name	Mitsuoka 1969	nom. corrig.: IJSB 34:508* but misspelling is retained in AL amended edition 1989	1		783509	774064
Brevibacterium	lutescens		53:1324*	orthographically incorrect name	Wauters et al. 2003		1, +		774221	774220
Brevibacterium	vitaeruminis		30:269 (AL)	orthographically incorrect name	(Bechdel et al. 1928) Breed 1957	correction of species epithet <I>vitarumen</I> to <I>vitaeruminis</I> according to correction of <I>Corynebacterium vitaeruminis</I> has never  been formally proposed	1		783560	775268
Capsularis	zoogleiformans		30:271 (AL)	orthographically incorrect name	(Weinberg et al. 1937) Prévot 1938		2, ht		783605	784687
Carboxydobrachium			51:146*	orthographically incorrect name	Sokolova et al. 2001				517196	515289
Carboxydobrachium	pacificum		51:147*	orthographically incorrect name	Sokolova et al. 2001		1		783607	774334
Caulobacter	leidyia		30:272 (AL)	orthographically incorrect name	Poindexter 1964		1		783613	790348
Clavibacter	iranicum		34:113*	orthographically incorrect name	(Carlson and Vidaver 1982) Davis et al. 1984	nom. corrig.	1, p		783644	780338
Clavibacter	michiganense		34:113*	orthographically incorrect name	(Smith 1910) Davis et al. 1984	nom. corrig.	1, p2		783645	774773
Clavibacter	michiganense	insidiosum	34:113*	orthographically incorrect name	(McCulloch 1925) Davis et al. 1984	nom. corrig.	1, p2		783646	774772
Clavibacter	michiganense	michiganense	34:113*	orthographically incorrect name	(Smith 1910) Davis et al. 1984	nom. corrig.	1, p2		783647	774773
Clavibacter	michiganense	nebraskense	34:113*	orthographically incorrect name	(Vidaver and Mandel 1974) Davis et al. 1984	nom. corrig.	1, p		783648	774774
Clavibacter	michiganense	sepedonicum	34:113*	orthographically incorrect name	(Spieckermann and Kotthoff 1914) Davis et al. 1984	nom. corrig.	1, p2		783649	774775
Clavibacter	michiganense	tessellarius	34:113*	orthographically incorrect name	(Carlson and Vidaver 1982) Davis et al. 1984	nom. corrig.	1, p		783650	774776
Clostridium	acidiurici		30:277 (AL)	orthographically incorrect name	(Liebert 1909) Barker 1938		1	9a, ATCC 7906, DSM 604	783655	795690
Clostridium	barati		30:277 (AL)	orthographically incorrect name	(Prévot 1938) Holdeman and Moore 1970		2, Z		783658	774832
Clostridium	clostridiiforme		30:278 (AL)	orthographically incorrect name	(Burri and Ankersmit 1906) Kaneuchi et al. 1976		2		783662	774857
Clostridium	fervidus		37:123*	orthographically incorrect name	Patel et al. 1987	nom. corrig. IJSB 48:1073*	1		774877	774359
Clostridium	formicoaceticum		30:279 (AL)	orthographically incorrect name	Andreesen et al. 1970		1		783665	774881
Clostridium	ghoni		30:279 (AL)	orthographically incorrect name	Prévot 1938		2		774885	793947
Clostridium	intestinalis		39:335*	orthographically incorrect name	Lee et al. 1989	nom. corrig. IJSB 48:1074*	1		783667	774903
Clostridium	irregularis		30:280 (AL)	orthographically incorrect name	(Choukevitch 1911) Prévot 1938		1		783668	791851
