Abiotrophiapara-adiacens
Acetobacterium psammolithicum
Acetomicrobium faecalis
Achromobacter cobalamini
Acidianus manzaensis
Acidianus tengchongenses
Acidianus tengchongensis
Acidilobus sulfurireducens
Acidimethylosilex fumarolicum
Acidiphilium aminolytica
Acidiphilium facilis
Acidovorax psychrofacilis
Acinetobacter antiviralis
Acinetobacter kyonggiensis
Acinetobacter marinus
Acinetobacter oleivorans
Acinetobacter oryzae
Acinetobacter seohaensis
Acinetobacter septicus
Actimicrobium antarcticum
Actinobaculum massiliae
Actinomadura albolutea
Actinomadura maheshkhaliensis
Actinomadura melliaura
Actinomadura pulveracea
Actinomadura routienii
Actinomadura spiculosospora
Actinomadura spinosa
Actinomyces houstonensis
Actinoplanes arizonaensis
Actinoplanes coloradoensis
Actinoplanes hulinensis
Actinosporangium bohemicum
Aegyptianella botuliformis
Aegyptianella minutus
Aegyptianella ranarum
Aerococcus sanguicola
Aeromonas cavernicola
Agrobacterium fabrum
Algorimarina butyrica
Algoriphagus shivajiensis
Aliihoeflea aestuarii
Alistipes senegalensis
Alkalibacterium olivoapovliticus
Alkaliphilus metalliredigens
Alteromonas infernus
Alteromonas rava
Amphibacillus haojiensis
Ampullariella cylindrica
Ampullariella pilifera
Anaerobacillus macyae
Anaerorhabdus furcosus
Anaerovibrio lipolytica
Anaplasma odocoilei
Anaplasma phagocytophila
Ancylobacter abiegnus
Ancylobacter natronum
Anditalea andensis
Anoxybacillus pushchinensis
Aquifex aeolicus
Aquimarina litoralis
Archaeoglobus lithotrophicus
Arenimonas aquaticum
Arsukibacterium ikkense
Arthrobacter crygenae
Arthrobacter dextranlyticum
Aurantimonas litoralis
Averyella dalhousiensis
Azoarcus taiwanensis
Azospirillum largomobile
Azospirillum palatum
Bacillus aneurinolyticus
Bacillus arsenicoselenatis
Bacillus coniferum
Bacillus gaemokensis
Bacillus hackensackii
Bacillus hunanensis
Bacillus kyonggiensis
Bacillus manliponensis
Bacillus marcorestinctum
Bacillus nematocida
Bacillus pallidus (illeg.)
Bacillus thermoantarcticus
Bacillus tianmuensis
Bacillus timonensis
Bacteroides tectum
Bartonella australis
Bartonella phoceensis
Bartonella rattimassiliensis
Bartonella schoenbuchii
Bartonella tamiae
Beneckea nereida
Beneckea nigrapulchrituda
Bhargavaea indica
Bifidobacterium thermophilium
Bilophococcus magnetotacticus
Blattabacterium clevelandi
Blattabacterium punctulatus
Blattabacterium relictus
Bordetella ansorpii
Borrelia andersonii
Borrelia barbouri
Borrelia bissettii
Borrelia lonestari
Borrelia spielmani
Brachyspira corvi
Brevibacterium lutescens
Brevibacterium vitaeruminis
Brevundimonas olei
Brucella cetaceae
Brucella maris
Brucella pinnipediae
Burkholderia dabaoshanensis
Byssophaga cruenta
Caedibacter macronucleorum
Caldicellulosiruptor obsidiansis
Caldimonas hydrothermale
Caldinitratiruptor microaerophilus
Caldisphaera draconis
Campylobacter troglodytis
Canaleparolina darwiniensis
Capsularis zoogleiformans
Carboxydobrachium pacificum
Catabacter hongkongensis
Caulobacter leidyia
Cellulomonas gilvus
Cenarchaeum symbiosum
Cerasicoccus frondis
Cerasicoccus maritimus
Charonomicrobium ambiphototrophicum
Chitinibacter suncheonensis
