Acinetobacter rhizosphaerae
Actinobacillus parahaemolyticus
Aggregatibacter pneumotropica
Agrobacterium sullae
Agrobacterium undicola
Amycolatopsis lactamdurans
Anabaena cylindrica
Ardenscatena maritimus
Arthrospira fusiformis
Bacillus longiquaesitum
Bartonella washoensis
Bosea genosp.
Brevibacterium aureum
Bulleidia hoa12_73A10
Bulleidia moorei
Bulleidia p-1630-c5
Chelonobacter Taxon
Clostridium neonatale
Cryocola poae
Dechloromonas fungiphilus
Desulfovibrio C21_c20
Desulfovibrio D168
Edaphobacter modestum
Erwinia dispersa
Erwinia soli
Gallibacterium genomosp.
Haererehalobacter salaria
Halomonas nitritophilus
Haloterrigena gari
Kosmotoga A2
Kosmotoga mrcj
Leptolyngbya frigida
Lewinella persicus
Mycoplasma haemobos
Mycoplasma haemominutum
Mycoplasma turicensis
Nitrosopumilus pIVWA5
Nitrosovibrio tenuis
Nodularia sphaerocarpa
Oscillatoria spongeliae
Phormidium animale
Phormidium murrayii
Pseudoalteromonas porphyrae
Pseudoclavibacter bifida
Sharpea p-3329-23G2
Spirulina subsalsa
Sporomusa polytropa
Sporosarcina ginsengi
Stenotrophomonas geniculata
Stenotrophomonas retroflexus
Streptococcus luteciae
Streptomyces ahygroscopicus
Streptomyces rubrolavendulae
Trabulsiella farmeri
Treponema sp5
Vibrio bacterium
