Abies homolepis
Acorus calamus
Acorus gramineus
Acremonium chrysogenum
Acremonium fuci
Acrophormium PCC-7375
Actinidia chinensis
Actinomycetales str.
actinomycete R-5
Actinothuidium hookeri
Adiantum pedatum
Aegilops longissima
Aegilops speltoides
Aegilops tauschii
Aeginetia indica
Aerobryidium filamentosum
Aerosakkonema Lao26
Aethionema arabicum
Aetokthonos AEL04
Agapanthus praecox
Agathis borneensis
Agave deserti
Agave tequilana
agricultural soil
Ahnfeltia plicata
Ailurus fulgens
Ajuga reptans
Akebia quinata
Alisma plantago-aquatica
Allium cepa
Allium fistulosum
alphaI cluster
Amaranthus tricolor
Amborella trichopoda
Ammopiptanthus mongolicus
anaerobic ammonium-oxidizing
anaerobic digester
Anaerolineaceae UCG-001
Ananas comosus
Andalucia godoyi
Andreaea rothii
Andrographis paniculata
Anemone flaccida
Anemopsis californica
Aneura pinguis
Angiopteris lygodiifolia
Annamia HOs24
Annona muricata
Annulohypoxylon stygium
Anomodon attenuatus
Anomodon rugelii
Anthoxanthum odoratum
Anthurium andraeanum
Aquamonas haywardensis
Aquilaria agallochum
Arabidopsis thaliana
Arachis duranensis
Arachis hypogaea
Arachis ipaensis
Arachis stenosperma
Araucaria excelsa
Araucaria heterophylla
archaeon enrichment
Aristolochia macrophylla
Artemisia annua
Arthroderma uncinatum
Arundo donax
Asarum canadense
Ascarina rubricaulis
Asparagopsis taxiformis
Asparagus officinalis
Aspergillago clavatoflava
Aspergillus albertensis
Aspergillus alliaceus
Aspergillus flavus
Aspergillus kambarensis
Aspergillus lentulus
Aspergillus leporis
Aspergillus nidulans
Aspergillus niger
Aspergillus nomius
Aspergillus oryzae
Aspergillus parasiticus
Aspergillus pseudonomius
Aspergillus sojae
Aspergillus subolivaceus
Aspergillus tamarii
Aspergillus terreus
Aspergillus terricola
Aspergillus thomii
Aspergillus tubingensis
Aspergillus ustus
Aspergillus westerdijkiae
Asplenium nidus
Atherosperma moschatum
Atractylodes lancea
Atrichum angustatum
Austrobaileya scandens
Auxenochlorella protothecoides
Auxenochlorella pyrenoidosa
Avena sativa
Azadirachta indica
Azolla filiculoides
Azolla pinnata
Babesia bovis
Babesia divergens
Babesia orientalis
Balanophora japonica
Bangia fuscopurpurea
Bankia setacea
Bartramia pomiformis
Batis maritima
BCf9-17 termite
BD1-7 clade
Bdelloura candida
Beauveria bassiana
Beauveria malawiensis
Beauveria pseudobassiana
benzene mineralizing
Berberis bealei
Berkeleya fennica
Beta macrocarpa
Beta vulgaris
Betula platyphylla
Bienertia sinuspersici
bioreactor sludge
Bituminaria bituminosa
Bixa orellana
Blvii28 wastewater-sludge
