"","db","query","superkingdom"
"1","ncbi","Acinetobacter rhizosphaerae","Bacteria"
"2","ncbi","Actinobacillus parahaemolyticus",NA
"3","ncbi","Aggregatibacter pneumotropica","Bacteria"
"4","ncbi","Agrobacterium sullae",NA
"5","ncbi","Agrobacterium undicola",NA
"6","ncbi","Amycolatopsis lactamdurans","Bacteria"
"7","ncbi","Anabaena cylindrica","Bacteria"
"8","ncbi","Ardenscatena maritimus",NA
"9","ncbi","Arthrospira fusiformis","Bacteria"
"10","ncbi","Bacillus longiquaesitum","Bacteria"
"11","ncbi","Bartonella washoensis","Bacteria"
"12","ncbi","Bosea genosp.",NA
"13","ncbi","Brevibacterium aureum","Bacteria"
"14","ncbi","Bulleidia hoa12_73A10",NA
"15","ncbi","Bulleidia moorei","Bacteria"
"16","ncbi","Bulleidia p-1630-c5",NA
"17","ncbi","Chelonobacter Taxon",NA
"18","ncbi","Clostridium neonatale","Bacteria"
"19","ncbi","Cryocola poae",NA
"20","ncbi","Dechloromonas fungiphilus",NA
"21","ncbi","Desulfovibrio C21_c20",NA
"22","ncbi","Desulfovibrio D168",NA
"23","ncbi","Edaphobacter modestum","Bacteria"
"24","ncbi","Erwinia dispersa",NA
"25","ncbi","Erwinia soli","Bacteria"
"26","ncbi","Gallibacterium genomosp.",NA
"27","ncbi","Haererehalobacter salaria",NA
"28","ncbi","Halomonas nitritophilus","Bacteria"
"29","ncbi","Haloterrigena gari",NA
"30","ncbi","Kosmotoga A2",NA
"31","ncbi","Kosmotoga mrcj",NA
"32","ncbi","Leptolyngbya frigida","Bacteria"
"33","ncbi","Lewinella persicus","Bacteria"
"34","ncbi","Mycoplasma haemobos","Bacteria"
"35","ncbi","Mycoplasma haemominutum","Bacteria"
"36","ncbi","Mycoplasma turicensis","Bacteria"
"37","ncbi","Nitrosopumilus pIVWA5",NA
"38","ncbi","Nitrosovibrio tenuis","Bacteria"
"39","ncbi","Nodularia sphaerocarpa","Bacteria"
"40","ncbi","Oscillatoria spongeliae","Bacteria"
"41","ncbi","Phormidium animale","Bacteria"
"42","ncbi","Phormidium murrayii","Bacteria"
"43","ncbi","Pseudoalteromonas porphyrae","Bacteria"
"44","ncbi","Pseudoclavibacter bifida","Bacteria"
"45","ncbi","Sharpea p-3329-23G2",NA
"46","ncbi","Spirulina subsalsa","Bacteria"
"47","ncbi","Sporomusa polytropa",NA
"48","ncbi","Sporosarcina ginsengi",NA
"49","ncbi","Stenotrophomonas geniculata",NA
"50","ncbi","Stenotrophomonas retroflexus",NA
"51","ncbi","Streptococcus luteciae","Bacteria"
"52","ncbi","Streptomyces ahygroscopicus","Bacteria"
"53","ncbi","Streptomyces rubrolavendulae","Bacteria"
"54","ncbi","Trabulsiella farmeri",NA
"55","ncbi","Treponema sp5",NA
"56","ncbi","Vibrio bacterium",NA
