"","db","query","superkingdom"
"2","ncbi","Abyssogena phaseoliformis","Eukaryota"
"3","ncbi","Acanthamoeba mauritaniensis","Eukaryota"
"4","ncbi","Acanthamoeba palestinensis","Eukaryota"
"5","ncbi","Acanthamoeba polyphaga","Eukaryota"
"6","ncbi","Acanthosoma haemorrhoidale","Eukaryota"
"37","ncbi","Acipenser sinensis","Eukaryota"
"38","ncbi","Acropora cervicornis","Eukaryota"
"39","ncbi","Acropora millepora","Eukaryota"
"40","ncbi","Actinidia chinensis","Eukaryota"
"739","ncbi","Acyrthosiphon pisum","Eukaryota"
"740","ncbi","Acytostelium ellipticum","Eukaryota"
"741","ncbi","Acytostelium leptosomum","Eukaryota"
"755","ncbi","Agaricus bisporus","Eukaryota"
"766","ncbi","Alexandrium tamarense","Eukaryota"
"776","ncbi","Alligator sinensis","Eukaryota"
"779","ncbi","Alosa alosa","Eukaryota"
"783","ncbi","Alvinella pompejana","Eukaryota"
"784","ncbi","Ambystoma mexicanum","Eukaryota"
"785","ncbi","Amia calva","Eukaryota"
"789","ncbi","Amphilophus citrinellus","Eukaryota"
"790","ncbi","Amphioctopus fangsiao","Eukaryota"
"831","ncbi","Anisakis simplex","Eukaryota"
"833","ncbi","Anneissia japonica","Eukaryota"
"834","ncbi","Annona senegalensis","Eukaryota"
"835","ncbi","Anodontia fragilis","Eukaryota"
"837","ncbi","Anolis carolinensis","Eukaryota"
"838","ncbi","Anopheles coluzzii","Eukaryota"
"839","ncbi","Anoplocnemis curvipes","Eukaryota"
"849","ncbi","Antheraea pernyi","Eukaryota"
"850","ncbi","Anthidium manicatum","Eukaryota"
"851","ncbi","Anurida maritima","Eukaryota"
"862","ncbi","Aphis craccivora","Eukaryota"
"863","ncbi","Aphis glycines","Eukaryota"
"864","ncbi","Apis florea","Eukaryota"
"865","ncbi","Apis mellifera","Eukaryota"
"866","ncbi","Aplysia californica","Eukaryota"
"867","ncbi","Aptenodytes forsteri","Eukaryota"
"868","ncbi","Apteryx australis","Eukaryota"
"872","ncbi","Arabidopsis thaliana","Eukaryota"
"873","ncbi","Arachis duranensis","Eukaryota"
"1049","ncbi","Aretaon asperrimus","Eukaryota"
"1050","ncbi","Argulus siamensis","Eukaryota"
"1051","ncbi","Armadillidium vulgare","Eukaryota"
"1069","ncbi","Aspergillus niger","Eukaryota"
"1075","ncbi","Aureobasidium melanogenum","Eukaryota"
"1076","ncbi","Austrofundulus limnaeus","Eukaryota"
"1178","ncbi","Bathymodiolus azoricus","Eukaryota"
"1179","ncbi","Bathymodiolus brevior","Eukaryota"
"1180","ncbi","Bathymodiolus brooksi","Eukaryota"
"1181","ncbi","Bathymodiolus heckerae","Eukaryota"
"1182","ncbi","Bathymodiolus hirtus","Eukaryota"
"1183","ncbi","Bathymodiolus japonicus","Eukaryota"
"1184","ncbi","Bathymodiolus marisindicus","Eukaryota"
"1185","ncbi","Bathymodiolus platifrons","Eukaryota"
"1186","ncbi","Bathymodiolus puteoserpentis","Eukaryota"
"1187","ncbi","Bathymodiolus septemdierum","Eukaryota"
"1188","ncbi","Bathymodiolus thermophilus","Eukaryota"
"1202","ncbi","Bithynia siamensis","Eukaryota"
"1204","ncbi","Blaberus atropos","Eukaryota"
"1205","ncbi","Blaberus craniifer","Eukaryota"
"1207","ncbi","Blattella germanica","Eukaryota"
"1215","ncbi","Bombus terrestris","Eukaryota"
"1228","ncbi","Bouteloua dactyloides","Eukaryota"
"1243","ncbi","Bragasellus molinai","Eukaryota"
"1244","ncbi","Bragasellus peltatus","Eukaryota"
"1245","ncbi","Branchiostoma floridae","Eukaryota"
"1252","ncbi","Brassica napus","Eukaryota"
"1253","ncbi","Brassica oleracea","Eukaryota"
"1264","ncbi","Brugia timori","Eukaryota"
"1274","ncbi","Caenorhabditis brenneri","Eukaryota"
"1275","ncbi","Caenorhabditis elegans","Eukaryota"
"1276","ncbi","Caenorhabditis remanei","Eukaryota"
"1277","ncbi","Calanus glacialis","Eukaryota"
"1283","ncbi","Calligrapha confluens","Eukaryota"
"1294","ncbi","Calyptogena fausta","Eukaryota"
"1295","ncbi","Calyptogena fossajaponica","Eukaryota"
"1296","ncbi","Calyptogena nautilei","Eukaryota"
"1297","ncbi","Calyptogena pacifica","Eukaryota"
"1298","ncbi","Calyptogena phaseoliformis","Eukaryota"
"1299","ncbi","Camelus dromedarius","Eukaryota"
"1302","ncbi","Capra hircus","Eukaryota"
"1303","ncbi","Capsicum annuum","Eukaryota"
"1307","ncbi","Castanea mollissima","Eukaryota"
"1318","ncbi","Cenchrus americanus","Eukaryota"
"1319","ncbi","Centruroides exilicauda","Eukaryota"
"1322","ncbi","Cephus cinctus","Eukaryota"
"1323","ncbi","Ceratina chalybea","Eukaryota"
"1325","ncbi","Chaetosphaeridium globosum","Eukaryota"
"1339","ncbi","Chlamydomonas debaryana","Eukaryota"
"1341","ncbi","Chlorocebus sabaeus","Eukaryota"
"1346","ncbi","Chromera velia","Eukaryota"
"1366","ncbi","Cimex lectularius","Eukaryota"
"1367","ncbi","Ciona intestinalis","Eukaryota"
"1371","ncbi","Citrus maxima","Eukaryota"
"1372","ncbi","Cladosiphon okamuranus","Eukaryota"
"1374","ncbi","Clavigralla tomentosicollis","Eukaryota"
"1376","ncbi","Clonorchis sinensis","Eukaryota"
"1487","ncbi","Coptotermes gestroi","Eukaryota"
"1489","ncbi","Corchorus olitorius","Eukaryota"
"1490","ncbi","Coregonus clupeaformis","Eukaryota"
"1491","ncbi","Coregonus lavaretus","Eukaryota"
"1510","ncbi","Coturnix japonica","Eukaryota"
"1512","ncbi","Crassostrea virginica","Eukaryota"
"1519","ncbi","Cryptocercus wrighti","Eukaryota"
"1590","ncbi","Cylindrotheca closterium","Eukaryota"
"1591","ncbi","Cymbella subturgidula","Eukaryota"
"1594","ncbi","Dactylopius coccus","Eukaryota"
"1596","ncbi","Danio rerio","Eukaryota"
"1598","ncbi","Daphnia magna","Eukaryota"
"1609","ncbi","Deladenus siricidicola","Eukaryota"
"1612","ncbi","Dendrocerus carpenteri","Eukaryota"
"1647","ncbi","Diabrotica virgifera","Eukaryota"
"1648","ncbi","Diachasma alloeum","Eukaryota"
"1654","ncbi","Dictyostelium deminutivum","Eukaryota"
"1655","ncbi","Dictyostelium polycarpum","Eukaryota"
"1658","ncbi","Dirofilaria immitis","Eukaryota"
"1687","ncbi","Drosophila biarmipes","Eukaryota"
"1688","ncbi","Drosophila bipectinata","Eukaryota"
