"","db","query","superkingdom"
"1","ncbi","Armatimonadetes_gp2",NA
"2","ncbi","Armatimonadetes_gp4",NA
"3","ncbi","Armatimonadetes_gp5",NA
"4","ncbi","Armatimonadetes_gp6",NA
"5","ncbi","Armatimonadetes_gp7",NA
"6","ncbi","Bacillariophyta","Eukaryota"
"7","ncbi","Bangiophyceae","Eukaryota"
"8","ncbi","Chlorarachniophyceae","Eukaryota"
"9","ncbi","Chlorophyta","Eukaryota"
"10","ncbi","Cryptomonadaceae","Eukaryota"
"11","ncbi","Euglenida","Eukaryota"
"12","ncbi","Ferrovum","Bacteria"
"13","ncbi","Gp1",NA
"14","ncbi","Gp10",NA
"15","ncbi","Gp11",NA
"16","ncbi","Gp12",NA
"17","ncbi","Gp13",NA
"18","ncbi","Gp14",NA
"19","ncbi","Gp15",NA
"20","ncbi","Gp16",NA
"21","ncbi","Gp17",NA
"22","ncbi","Gp18",NA
"23","ncbi","Gp19",NA
"24","ncbi","Gp2",NA
"25","ncbi","Gp20",NA
"26","ncbi","Gp21",NA
"27","ncbi","Gp22",NA
"28","ncbi","Gp23",NA
"29","ncbi","Gp24",NA
"30","ncbi","Gp25",NA
"31","ncbi","Gp26",NA
"32","ncbi","Gp3",NA
"33","ncbi","Gp4",NA
"34","ncbi","Gp5",NA
"35","ncbi","Gp6",NA
"36","ncbi","Gp7",NA
"37","ncbi","Gp9",NA
"38","ncbi","GpI",NA
"39","ncbi","GpIIa",NA
"40","ncbi","GpIIb",NA
"41","ncbi","GpIII",NA
"42","ncbi","GpIV",NA
"43","ncbi","GpIX",NA
"44","ncbi","GpV","Viruses"
"45","ncbi","GpVI",NA
"46","ncbi","GpVII",NA
"47","ncbi","GpVIII",NA
"48","ncbi","GpX",NA
"49","ncbi","GpXI",NA
"50","ncbi","GpXII",NA
"51","ncbi","GpXIII",NA
"52","ncbi","III",NA
"53","ncbi","IV",NA
"54","ncbi","Nitrosopumilus","Archaea"
"55","ncbi","Ruminococcus2",NA
"56","ncbi","Sideroxydans","Bacteria"
"57","ncbi","Streptophyta","Eukaryota"
"58","ncbi","stricto",NA
"59","ncbi","XI",NA
"60","ncbi","XII",NA
"61","ncbi","Xiphinematobacter","Bacteria"
"62","ncbi","XlVa",NA
"63","ncbi","XlVb",NA
"64","ncbi","XVIII",NA
