"","db","query","superkingdom"
"1","ncbi","Abies homolepis","Eukaryota"
"2","ncbi","Acorus calamus","Eukaryota"
"3","ncbi","Acorus gramineus","Eukaryota"
"4","ncbi","Acremonium chrysogenum","Eukaryota"
"5","ncbi","Acremonium fuci","Eukaryota"
"6","ncbi","Acrophormium PCC-7375",NA
"7","ncbi","Actinidia chinensis","Eukaryota"
"8","ncbi","Actinomycetales str.",NA
"9","ncbi","actinomycete R-5","Bacteria"
"10","ncbi","Actinothuidium hookeri","Eukaryota"
"11","ncbi","Adiantum pedatum","Eukaryota"
"12","ncbi","Aegilops longissima","Eukaryota"
"13","ncbi","Aegilops speltoides","Eukaryota"
"14","ncbi","Aegilops tauschii","Eukaryota"
"15","ncbi","Aeginetia indica","Eukaryota"
"16","ncbi","Aerobryidium filamentosum","Eukaryota"
"17","ncbi","Aerosakkonema Lao26",NA
"18","ncbi","Aethionema arabicum","Eukaryota"
"19","ncbi","Aetokthonos AEL04",NA
"20","ncbi","Agapanthus praecox","Eukaryota"
"21","ncbi","Agathis borneensis","Eukaryota"
"22","ncbi","Agave deserti","Eukaryota"
"23","ncbi","Agave tequilana","Eukaryota"
"24","ncbi","agricultural soil",NA
"25","ncbi","Ahnfeltia plicata","Eukaryota"
"26","ncbi","Ailurus fulgens","Eukaryota"
"27","ncbi","Ajuga reptans","Eukaryota"
"28","ncbi","Akebia quinata","Eukaryota"
"29","ncbi","Alisma plantago-aquatica","Eukaryota"
"30","ncbi","Allium cepa","Eukaryota"
"31","ncbi","Allium fistulosum","Eukaryota"
"32","ncbi","alphaI cluster",NA
"33","ncbi","Amaranthus tricolor","Eukaryota"
"34","ncbi","Amborella trichopoda","Eukaryota"
"35","ncbi","Ammopiptanthus mongolicus","Eukaryota"
"36","ncbi","anaerobic ammonium-oxidizing",NA
"37","ncbi","anaerobic digester",NA
"38","ncbi","Anaerolineaceae UCG-001",NA
"39","ncbi","Ananas comosus","Eukaryota"
"40","ncbi","Andalucia godoyi","Eukaryota"
"41","ncbi","Andreaea rothii","Eukaryota"
"42","ncbi","Andrographis paniculata","Eukaryota"
"43","ncbi","Anemone flaccida","Eukaryota"
"44","ncbi","Anemopsis californica","Eukaryota"
"45","ncbi","Aneura pinguis","Eukaryota"
"46","ncbi","Angiopteris lygodiifolia","Eukaryota"
"47","ncbi","Annamia HOs24",NA
"48","ncbi","Annona muricata","Eukaryota"
"49","ncbi","Annulohypoxylon stygium","Eukaryota"
"50","ncbi","Anomodon attenuatus","Eukaryota"
"51","ncbi","Anomodon rugelii","Eukaryota"
"52","ncbi","Anthoxanthum odoratum","Eukaryota"
"53","ncbi","Anthurium andraeanum","Eukaryota"
"54","ncbi","Aquamonas haywardensis","Bacteria"
"55","ncbi","Aquilaria agallochum","Eukaryota"
"56","ncbi","Arabidopsis thaliana","Eukaryota"
"57","ncbi","Arachis duranensis","Eukaryota"
"58","ncbi","Arachis hypogaea","Eukaryota"
"59","ncbi","Arachis ipaensis","Eukaryota"
"60","ncbi","Arachis stenosperma","Eukaryota"
"61","ncbi","Araucaria excelsa","Eukaryota"
"62","ncbi","Araucaria heterophylla","Eukaryota"
"63","ncbi","archaeon enrichment",NA
"64","ncbi","Aristolochia macrophylla","Eukaryota"
"65","ncbi","Artemisia annua","Eukaryota"
"66","ncbi","Arthroderma uncinatum","Eukaryota"
"67","ncbi","Arundo donax","Eukaryota"
"68","ncbi","Asarum canadense","Eukaryota"
"69","ncbi","Ascarina rubricaulis","Eukaryota"
"70","ncbi","Asparagopsis taxiformis","Eukaryota"
"71","ncbi","Asparagus officinalis","Eukaryota"
"72","ncbi","Aspergillago clavatoflava","Eukaryota"
"73","ncbi","Aspergillus albertensis","Eukaryota"
"74","ncbi","Aspergillus alliaceus","Eukaryota"
"75","ncbi","Aspergillus flavus","Eukaryota"
"76","ncbi","Aspergillus kambarensis","Eukaryota"
"77","ncbi","Aspergillus lentulus","Eukaryota"
"78","ncbi","Aspergillus leporis","Eukaryota"
"79","ncbi","Aspergillus nidulans","Eukaryota"
"80","ncbi","Aspergillus niger","Eukaryota"
"81","ncbi","Aspergillus nomius","Eukaryota"
"82","ncbi","Aspergillus oryzae","Eukaryota"
