"","db","query","superkingdom"
"1","ncbi","02d06",NA
"2","ncbi","1-68",NA
"3","ncbi","209ZB06",NA
"4","ncbi","31d11",NA
"5","ncbi","4-29",NA
"6","ncbi","5-7N15",NA
"7","ncbi","A17",NA
"8","ncbi","AF12",NA
"9","ncbi","ANME-3",NA
"10","ncbi","ArcF12",NA
"11","ncbi","Arctic95A-2",NA
"12","ncbi","Ardenscatena",NA
"13","ncbi","AUTHM297",NA
"14","ncbi","B-42",NA
"15","ncbi","B46",NA
"16","ncbi","BD2-13",NA
"17","ncbi","BD2-6",NA
"18","ncbi","BE24",NA
"19","ncbi","BF311",NA
"20","ncbi","BHB21",NA
"21","ncbi","Blvii28",NA
"22","ncbi","BSV43",NA
"23","ncbi","C39",NA
"24","ncbi","Caldanaerocella","Bacteria"
"25","ncbi","CF231",NA
"26","ncbi","CF-26",NA
"27","ncbi","CL0-1",NA
"28","ncbi","CM44",NA
"29","ncbi","Cryocola","Bacteria"
"30","ncbi","DA101",NA
"31","ncbi","DCE29",NA
"32","ncbi","Denitrobacter","Bacteria"
"33","ncbi","Desulfitobacter","Bacteria"
"34","ncbi","DL1A-100",NA
"35","ncbi","Dok59",NA
"36","ncbi","E6","Viruses"
"37","ncbi","E8",NA
"38","ncbi","ecb11",NA
"39","ncbi","Ellin506",NA
"40","ncbi","FFCH10602",NA
"41","ncbi","Fibrobacteres-2",NA
"42","ncbi","G07",NA
"43","ncbi","GA41",NA
"44","ncbi","GBI-58",NA
"45","ncbi","GOUTA19",NA
"46","ncbi","GW-34",NA
"47","ncbi","HA73",NA
"48","ncbi","Haererehalobacter","Bacteria"
"49","ncbi","HAW-RM37",NA
"50","ncbi","HB118",NA
"51","ncbi","HB2-32-21",NA
"52","ncbi","HMMVBeg-29",NA
"53","ncbi","HTCC",NA
"54","ncbi","HTCC2207",NA
"55","ncbi","JG37-AG-70",NA
"56","ncbi","JTB248",NA
"57","ncbi","K82",NA
"58","ncbi","Kaistobacter","Bacteria"
"59","ncbi","KD1-23",NA
"60","ncbi","KF-Gitt2-16",NA
"61","ncbi","Kouleothrix","Bacteria"
"62","ncbi","KSA1",NA
"63","ncbi","LCP-26",NA
"64","ncbi","LCP-6",NA
"65","ncbi","LP2A",NA
"66","ncbi","MB11C04",NA
"67","ncbi","ML110J-20",NA
"68","ncbi","MSBL3",NA
"69","ncbi","N09",NA
"70","ncbi","ND137",NA
"71","ncbi","Niigata-25",NA
"72","ncbi","Nitrosopumilus","Archaea"
"73","ncbi","Nitrosovibrio","Bacteria"
"74","ncbi","NP25",NA
"75","ncbi","nsmpVI18",NA
"76","ncbi","OR-59",NA
"77","ncbi","p-75-a5",NA
"78","ncbi","PD-UASB-13",NA
"79","ncbi","Pedosphaera","Bacteria"
"80","ncbi","ph2",NA
"81","ncbi","pMC1A4",NA
"82","ncbi","Prauseria","Bacteria"
"83","ncbi","Procabacter","Bacteria"
"84","ncbi","PSB-M-3",NA
"85","ncbi","PW3",NA
"86","ncbi","R18-435",NA
"87","ncbi","rc4-4",NA
"88","ncbi","RFN20",NA
"89","ncbi","RS62",NA
"90","ncbi","S1","Eukaryota"
"91","ncbi","SAGMEG-1",NA
"92","ncbi","SargSea-WGS",NA
"93","ncbi","SC103",NA
"94","ncbi","SC3-56",NA
"95","ncbi","SGSH944",NA
"96","ncbi","SGUS912",NA
"97","ncbi","SHAG537",NA
"98","ncbi","SHD-14",NA
"99","ncbi","SHD-231",NA
"100","ncbi","SJA-88",NA
"101","ncbi","SMB53",NA
"102","ncbi","so4B24",NA
"103","ncbi","Solwaraspora","Bacteria"
"104","ncbi","Spironema","Bacteria"
"105","ncbi","T78",NA
"106","ncbi","TG5",NA
"107","ncbi","Thermoanaerovibrio","Bacteria"
"108","ncbi","Thermosynechococcus","Bacteria"
"109","ncbi","TS34",NA
"110","ncbi","u114",NA
"111","ncbi","Ucs1325",NA
"112","ncbi","vadinCA02",NA
"113","ncbi","vadinCA11",NA
"114","ncbi","vadinHB04",NA
"115","ncbi","W22",NA
"116","ncbi","W5",NA
"117","ncbi","WCHB1-05",NA
"118","ncbi","WCHB1-84",NA
"119","ncbi","WH1-8",NA
"120","ncbi","XKL75",NA
"121","ncbi","YNPFFP6",NA
"122","ncbi","YRC22",NA
"123","ncbi","Z-35",NA
"124","ncbi","za29",NA
"125","ncbi","ZA3312c",NA
"126","ncbi","ZD0117",NA
