"","db","query","superkingdom"
"1","ncbi","Acinetobacter rhizosphaerae","Bacteria"
"2","ncbi","Actinobacillus parahaemolyticus",NA
"3","ncbi","Aggregatibacter pneumotropica","Bacteria"
"4","ncbi","Agrobacterium sullae",NA
"5","ncbi","Agrobacterium undicola",NA
"6","ncbi","Amycolatopsis lactamdurans","Bacteria"
"7","ncbi","Anabaena cylindrica","Bacteria"
"8","ncbi","Ardenscatena maritimus",NA
"9","ncbi","Arthrospira fusiformis","Bacteria"
"10","ncbi","Bacillus longiquaesitum","Bacteria"
"11","ncbi","Bartonella washoensis","Bacteria"
"12","ncbi","Brevibacterium aureum","Bacteria"
"13","ncbi","Bulleidia hoa12_73A10",NA
"14","ncbi","Bulleidia moorei","Bacteria"
"15","ncbi","Bulleidia p-1630-c5",NA
"16","ncbi","Chelonobacter Taxon",NA
"17","ncbi","Clostridium neonatale","Bacteria"
"18","ncbi","Cryocola poae",NA
"19","ncbi","Dechloromonas fungiphilus",NA
"20","ncbi","Desulfovibrio C21_c20",NA
"21","ncbi","Desulfovibrio D168",NA
"22","ncbi","Edaphobacter modestum","Bacteria"
"23","ncbi","Erwinia dispersa",NA
"24","ncbi","Erwinia soli","Bacteria"
"25","ncbi","Haererehalobacter salaria",NA
"26","ncbi","Halomonas nitritophilus","Bacteria"
"27","ncbi","Haloterrigena gari",NA
"28","ncbi","Kosmotoga A2",NA
"29","ncbi","Kosmotoga mrcj",NA
"30","ncbi","Leptolyngbya frigida","Bacteria"
"31","ncbi","Lewinella persicus","Bacteria"
"32","ncbi","Mycoplasma haemobos","Bacteria"
"33","ncbi","Mycoplasma haemominutum","Bacteria"
"34","ncbi","Mycoplasma turicensis","Bacteria"
"35","ncbi","Nitrosopumilus pIVWA5",NA
"36","ncbi","Nitrosovibrio tenuis","Bacteria"
"37","ncbi","Nodularia sphaerocarpa","Bacteria"
"38","ncbi","Oscillatoria spongeliae","Bacteria"
"39","ncbi","Phormidium animale","Bacteria"
"40","ncbi","Phormidium murrayii","Bacteria"
"41","ncbi","Pseudoalteromonas porphyrae","Bacteria"
"42","ncbi","Pseudoclavibacter bifida","Bacteria"
"43","ncbi","Sharpea p-3329-23G2",NA
"44","ncbi","Spirulina subsalsa","Bacteria"
"45","ncbi","Sporomusa polytropa",NA
"46","ncbi","Sporosarcina ginsengi",NA
"47","ncbi","Stenotrophomonas geniculata","Bacteria"
"48","ncbi","Stenotrophomonas retroflexus",NA
"49","ncbi","Streptococcus luteciae","Bacteria"
"50","ncbi","Streptomyces ahygroscopicus","Bacteria"
"51","ncbi","Streptomyces rubrolavendulae","Bacteria"
"52","ncbi","Trabulsiella farmeri",NA
"53","ncbi","Treponema sp5",NA
"54","ncbi","Vibrio bacterium",NA
