Abies homolepis
Acorus calamus
Acorus gramineus
Acremonium chrysogenum
Acremonium fuci
Actinidia chinensis
Actinothuidium hookeri
Adiantum pedatum
Aegilops longissima
Aegilops speltoides
Aegilops tauschii
Aeginetia indica
Aerobryidium filamentosum
Aethionema arabicum
Agapanthus praecox
Agathis borneensis
Agave deserti
Agave tequilana
Ahnfeltia plicata
Ailurus fulgens
Ajuga reptans
Akebia quinata
Alisma plantago-aquatica
Allium cepa
Allium fistulosum
Amaranthus tricolor
Amborella trichopoda
Ammopiptanthus mongolicus
Ananas comosus
Andalucia godoyi
Andreaea rothii
Andrographis paniculata
Anemone flaccida
Anemopsis californica
Aneura pinguis
Angiopteris lygodiifolia
Annona muricata
Annulohypoxylon stygium
Anomodon attenuatus
Anomodon rugelii
Anthoxanthum odoratum
Anthurium andraeanum
Aquilaria agallochum
Arabidopsis thaliana
Arachis duranensis
Arachis hypogaea
Arachis ipaensis
Arachis stenosperma
Araucaria excelsa
Araucaria heterophylla
Aristolochia macrophylla
Artemisia annua
Arthroderma uncinatum
Arundo donax
Asarum canadense
Ascarina rubricaulis
Asparagopsis taxiformis
Asparagus officinalis
Aspergillago clavatoflava
Aspergillus albertensis
Aspergillus alliaceus
Aspergillus flavus
Aspergillus kambarensis
Aspergillus lentulus
Aspergillus leporis
Aspergillus nidulans
Aspergillus niger
Aspergillus nomius
Aspergillus oryzae
Aspergillus parasiticus
Aspergillus pseudonomius
Aspergillus sojae
Aspergillus subolivaceus
Aspergillus tamarii
Aspergillus terreus
Aspergillus terricola
Aspergillus thomii
Aspergillus tubingensis
Aspergillus ustus
Aspergillus westerdijkiae
Asplenium nidus
Atherosperma moschatum
Atractylodes lancea
Atrichum angustatum
Auxenochlorella protothecoides
Auxenochlorella pyrenoidosa
Avena sativa
Azadirachta indica
Azolla filiculoides
Azolla pinnata
Babesia bovis
Babesia divergens
Babesia orientalis
Balanophora japonica
Bangia fuscopurpurea
Bankia setacea
Bartramia pomiformis
Batis maritima
Bdelloura candida
Beauveria bassiana
Beauveria malawiensis
Beauveria pseudobassiana
Berberis bealei
Berkeleya fennica
Beta macrocarpa
Beta vulgaris
Betula platyphylla
Bienertia sinuspersici
Bituminaria bituminosa
Bixa orellana
Bouteloua dactyloides
Brachypodium distachyon
Brachythecium rivulare
Brasenia schreberi
Brassica carinata
Brassica juncea
Brassica napus
Brassica nigra
Brassica oleracea
Brassica rapa
Bremia lactucae
Bromus tectorum
Bryoandersonia illecebra
Bryoria tenuis
Bryum argenteum
Bucklandiella orthotrichacea
Buxbaumia aphylla
Cairneyella variabilis
Cajanus cajan
Calliarthron tuberculosum
