"","db","query","superkingdom"
"2","ncbi","Acanthamoeba mauritaniensis","Eukaryota"
"3","ncbi","Acanthamoeba palestinensis","Eukaryota"
"4","ncbi","Acanthamoeba polyphaga","Eukaryota"
"5","ncbi","Acanthosoma haemorrhoidale","Eukaryota"
"38","ncbi","Acipenser sinensis","Eukaryota"
"39","ncbi","Acropora cervicornis","Eukaryota"
"40","ncbi","Acropora millepora","Eukaryota"
"41","ncbi","Actinidia chinensis","Eukaryota"
"738","ncbi","Acyrthosiphon pisum","Eukaryota"
"739","ncbi","Acytostelium ellipticum","Eukaryota"
"740","ncbi","Acytostelium leptosomum","Eukaryota"
"755","ncbi","Agaricus bisporus","Eukaryota"
"766","ncbi","Alexandrium tamarense","Eukaryota"
"777","ncbi","Alligator sinensis","Eukaryota"
"780","ncbi","Alosa alosa","Eukaryota"
"785","ncbi","Alvinella pompejana","Eukaryota"
"786","ncbi","Ambystoma mexicanum","Eukaryota"
"787","ncbi","Amia calva","Eukaryota"
"791","ncbi","Amphilophus citrinellus","Eukaryota"
"792","ncbi","Amphioctopus fangsiao","Eukaryota"
"832","ncbi","Anisakis simplex","Eukaryota"
"834","ncbi","Anneissia japonica","Eukaryota"
"835","ncbi","Annona senegalensis","Eukaryota"
"836","ncbi","Anolis carolinensis","Eukaryota"
"837","ncbi","Anopheles coluzzii","Eukaryota"
"838","ncbi","Anoplocnemis curvipes","Eukaryota"
"846","ncbi","Antheraea pernyi","Eukaryota"
"847","ncbi","Anthidium manicatum","Eukaryota"
"848","ncbi","Anurida maritima","Eukaryota"
"858","ncbi","Aphis craccivora","Eukaryota"
"859","ncbi","Aphis glycines","Eukaryota"
"860","ncbi","Apis florea","Eukaryota"
"861","ncbi","Apis mellifera","Eukaryota"
"862","ncbi","Aplysia californica","Eukaryota"
"863","ncbi","Aptenodytes forsteri","Eukaryota"
"864","ncbi","Apteryx australis","Eukaryota"
"868","ncbi","Arabidopsis thaliana","Eukaryota"
"869","ncbi","Arachis duranensis","Eukaryota"
"1043","ncbi","Aretaon asperrimus","Eukaryota"
"1044","ncbi","Argulus siamensis","Eukaryota"
"1045","ncbi","Armadillidium vulgare","Eukaryota"
