"","db","query","superkingdom"
"1","ncbi","1174-901-12",NA
"2","ncbi","1921-2",NA
"3","ncbi","1921-3",NA
"4","ncbi","1959-1",NA
"5","ncbi","2013Ark19i",NA
"6","ncbi","28-4",NA
"7","ncbi","28-YEA-48",NA
"8","ncbi","3PJM14",NA
"9","ncbi","966-1",NA
"10","ncbi","9M32",NA
"11","ncbi","A07HB70",NA
"12","ncbi","A2",NA
"13","ncbi","A714019",NA
"14","ncbi","A7P-90m",NA
"15","ncbi","A815",NA
"16","ncbi","AAP99",NA
"17","ncbi","Ac37b",NA
"18","ncbi","Acidibacillus","Bacteria"
"19","ncbi","Acidithrix","Bacteria"
"20","ncbi","Aciduliprofundum","Archaea"
"21","ncbi","ADurb.Bin063-1",NA
"22","ncbi","ADurb.Bin063-2",NA
"23","ncbi","ADurb.Bin120",NA
"24","ncbi","Aerosphaera","Bacteria"
"25","ncbi","AKIW659",NA
"26","ncbi","AKYG587",NA
"27","ncbi","Algivirga","Bacteria"
"28","ncbi","Aliisedimentitalea",NA
"29","ncbi","AMGG11",NA
"30","ncbi","Angelakisella","Bacteria"
"31","ncbi","ANME-2b",NA
"32","ncbi","ANME-3",NA
"33","ncbi","Annwodia",NA
"34","ncbi","Anthococcus","Bacteria"
"35","ncbi","A-plasma",NA
"36","ncbi","AqS1",NA
"37","ncbi","ASF356",NA
"38","ncbi","ATCC-39006",NA
"39","ncbi","Atlantibacter","Bacteria"
"40","ncbi","AT-s3-44",NA
"41","ncbi","Aureimarina","Bacteria"
"42","ncbi","AUTHM297",NA
"43","ncbi","B2706-C7",NA
"44","ncbi","B276-D12",NA
"45","ncbi","B48",NA
"46","ncbi","BacC-u-018",NA
"47","ncbi","Bact-08",NA
"48","ncbi","Bacteroidetes","Bacteria"
"49","ncbi","BIyi10",NA
"50","ncbi","BMM02",NA
"51","ncbi","BRH-c57",NA
"52","ncbi","BRH-c8a",NA
"53","ncbi","BSV13",NA
"54","ncbi","Bythopirellula","Bacteria"
"55","ncbi","C1-B045",NA
"56","ncbi","C-2",NA
"57","ncbi","C254",NA
"58","ncbi","C39",NA
"59","ncbi","CAG-352",NA
"60","ncbi","CAG-56",NA
"61","ncbi","CAG-873",NA
"62","ncbi","CB31G03",NA
"63","ncbi","CENA359",NA
"64","ncbi","CENA384",NA
"65","ncbi","CENA518",NA
"66","ncbi","CENA533",NA
"67","ncbi","CHKCI001",NA
"68","ncbi","CHKCI002",NA
"69","ncbi","CI75cm.2.12",NA
"70","ncbi","CK06-06-Mud-MAS4B-21",NA
"71","ncbi","CL500-3",NA
"72","ncbi","Cm1-21",NA
"73","ncbi","CM1G08",NA
"74","ncbi","Coralslurrinella","Bacteria"
"75","ncbi","cr616",NA
"76","ncbi","Crenarchaeota","Archaea"
"77","ncbi","Cryocola","Bacteria"
"78","ncbi","DBS1",NA
"79","ncbi","Dehalobium","Bacteria"
"80","ncbi","Denitromonas","Bacteria"
"81","ncbi","DMER64",NA
"82","ncbi","DNF00809",NA
"83","ncbi","DS001",NA
"84","ncbi","Dsc1",NA
"85","ncbi","DSSD61",NA
"86","ncbi","DSSF69",NA
"87","ncbi","DTU089",NA
"88","ncbi","E1B-B3-114",NA
"89","ncbi","EBM-39",NA
"90","ncbi","EcFYyy-200",NA
"91","ncbi","Elev-16S-1166",NA
"92","ncbi","Ellin6055",NA
"93","ncbi","Ellin6067",NA
"94","ncbi","Emcibacter","Bacteria"
"95","ncbi","endosymbionts",NA
"96","ncbi","endosymbionts1",NA
"97","ncbi","endosymbionts10",NA
"98","ncbi","endosymbionts11",NA
"99","ncbi","endosymbionts2",NA
"100","ncbi","endosymbionts3",NA
"101","ncbi","endosymbionts4",NA
"102","ncbi","endosymbionts5",NA
"103","ncbi","endosymbionts6",NA
"104","ncbi","endosymbionts7",NA
"105","ncbi","endosymbionts8",NA
"106","ncbi","E-plasma",NA
"107","ncbi","Erysipelatoclostridium","Bacteria"
"108","ncbi","ESFC-1",NA
"109","ncbi","Estrella","Bacteria"
"110","ncbi","ET-SHO",NA
"111","ncbi","F0058",NA
"112","ncbi","F0332",NA
"113","ncbi","F1-37X2",NA
"114","ncbi","FCPS473",NA
"115","ncbi","FD2005",NA
"116","ncbi","Ferrovum","Bacteria"
"117","ncbi","FFCH5858",NA
"118","ncbi","FFCH7168",NA
"119","ncbi","FS142-36B-02",NA
"120","ncbi","Fuerstia","Bacteria"
"121","ncbi","FukuN57",NA
"122","ncbi","G12-WMSP1",NA
"123","ncbi","Ga0074140",NA
"124","ncbi","GAS113",NA
"125","ncbi","Gayadomonas","Bacteria"
"126","ncbi","GBChlB",NA
"127","ncbi","GCA-900066225",NA
"128","ncbi","GCA-900066575",NA
"129","ncbi","GCA-900066755",NA
"130","ncbi","Gemmatirosa","Bacteria"
"131","ncbi","Gleocapsa",NA
"132","ncbi","GOUTA6",NA
"133","ncbi","GOUTB8",NA
"134","ncbi","Greenland-10",NA
"135","ncbi","GWD2-49-16",NA
"136","ncbi","GWE2-31-10",NA
"137","ncbi","GWE2-42-42",NA
"138","ncbi","H1",NA
"139","ncbi","HAVOmat113",NA
