"","db","query","superkingdom"
"1","ncbi","Abies homolepis","Eukaryota"
"2","ncbi","Acorus calamus","Eukaryota"
"3","ncbi","Acorus gramineus","Eukaryota"
"4","ncbi","Acremonium chrysogenum","Eukaryota"
"5","ncbi","Acremonium fuci","Eukaryota"
"6","ncbi","Acrophormium PCC-7375",NA
"7","ncbi","Actinidia chinensis","Eukaryota"
"8","ncbi","Actinomycetales str.",NA
"9","ncbi","actinomycete R-5","Bacteria"
"10","ncbi","Actinothuidium hookeri","Eukaryota"
"11","ncbi","Adiantum pedatum","Eukaryota"
"12","ncbi","Aegilops longissima","Eukaryota"
"13","ncbi","Aegilops speltoides","Eukaryota"
"14","ncbi","Aegilops tauschii","Eukaryota"
"15","ncbi","Aeginetia indica","Eukaryota"
"16","ncbi","Aerobryidium filamentosum","Eukaryota"
"17","ncbi","Aerosakkonema Lao26",NA
"18","ncbi","Aethionema arabicum","Eukaryota"
"19","ncbi","Aetokthonos AEL04",NA
"20","ncbi","Agapanthus praecox","Eukaryota"
"21","ncbi","Agathis borneensis","Eukaryota"
"22","ncbi","Agave deserti","Eukaryota"
"23","ncbi","Agave tequilana","Eukaryota"
"24","ncbi","Ahnfeltia plicata","Eukaryota"
"25","ncbi","Ailurus fulgens","Eukaryota"
"26","ncbi","Ajuga reptans","Eukaryota"
"27","ncbi","Akebia quinata","Eukaryota"
"28","ncbi","Alisma plantago-aquatica","Eukaryota"
"29","ncbi","Allium cepa","Eukaryota"
"30","ncbi","Allium fistulosum","Eukaryota"
"31","ncbi","alphaI cluster",NA
"32","ncbi","alpha proteobacterium",NA
"33","ncbi","Amaranthus tricolor","Eukaryota"
"34","ncbi","Amborella trichopoda","Eukaryota"
"35","ncbi","Ammopiptanthus mongolicus","Eukaryota"
"36","ncbi","anaerobic ammonium-oxidizing",NA
"37","ncbi","Anaerolineaceae UCG-001",NA
"38","ncbi","Ananas comosus","Eukaryota"
"39","ncbi","Andalucia godoyi","Eukaryota"
"40","ncbi","Andreaea rothii","Eukaryota"
"41","ncbi","Andrographis paniculata","Eukaryota"
"42","ncbi","Anemone flaccida","Eukaryota"
"43","ncbi","Anemopsis californica","Eukaryota"
"44","ncbi","Aneura pinguis","Eukaryota"
"45","ncbi","Angiopteris lygodiifolia","Eukaryota"
"46","ncbi","Annamia HOs24",NA
"47","ncbi","Annona muricata","Eukaryota"
"48","ncbi","Annulohypoxylon stygium","Eukaryota"
"49","ncbi","Anomodon attenuatus","Eukaryota"
"50","ncbi","Anomodon rugelii","Eukaryota"
"51","ncbi","Anthoxanthum odoratum","Eukaryota"
"52","ncbi","Anthurium andraeanum","Eukaryota"
"53","ncbi","Aquamonas haywardensis","Bacteria"
"54","ncbi","Aquilaria agallochum","Eukaryota"
"55","ncbi","Arabidopsis thaliana","Eukaryota"
"56","ncbi","Arachis duranensis","Eukaryota"
"57","ncbi","Arachis hypogaea","Eukaryota"
"58","ncbi","Arachis ipaensis","Eukaryota"
"59","ncbi","Arachis stenosperma","Eukaryota"
"60","ncbi","Araucaria excelsa","Eukaryota"
"61","ncbi","Araucaria heterophylla","Eukaryota"
"62","ncbi","Aristolochia macrophylla","Eukaryota"
"63","ncbi","Artemisia annua","Eukaryota"
"64","ncbi","Arthroderma uncinatum","Eukaryota"
"65","ncbi","Arundo donax","Eukaryota"
"66","ncbi","Asarum canadense","Eukaryota"
"67","ncbi","Ascarina rubricaulis","Eukaryota"
"68","ncbi","Asparagopsis taxiformis","Eukaryota"
"69","ncbi","Asparagus officinalis","Eukaryota"
"70","ncbi","Aspergillago clavatoflava","Eukaryota"
"71","ncbi","Aspergillus albertensis","Eukaryota"
"72","ncbi","Aspergillus alliaceus","Eukaryota"
"73","ncbi","Aspergillus flavus","Eukaryota"
"74","ncbi","Aspergillus kambarensis","Eukaryota"
"75","ncbi","Aspergillus lentulus","Eukaryota"
"76","ncbi","Aspergillus leporis","Eukaryota"
"77","ncbi","Aspergillus nidulans","Eukaryota"
"78","ncbi","Aspergillus niger","Eukaryota"
"79","ncbi","Aspergillus nomius","Eukaryota"
"80","ncbi","Aspergillus oryzae","Eukaryota"
"81","ncbi","Aspergillus parasiticus","Eukaryota"
