"","db","query","superkingdom"
"1","ncbi","Abiotrophia para-adiacens","Bacteria"
"2","ncbi","Acanthamoeba mauritaniensis","Eukaryota"
"3","ncbi","Acanthamoeba palestinensis","Eukaryota"
"4","ncbi","Acanthamoeba polyphaga","Eukaryota"
"5","ncbi","Acanthosoma haemorrhoidale","Eukaryota"
"6","ncbi","Acetobacterium submarinus","Bacteria"
"7","ncbi","Achromatium minus","Bacteria"
"8","ncbi","Achromobacter","Bacteria"
"9","ncbi","Achromobacter arsenitoxydans","Bacteria"
"10","ncbi","Achromobacter cholinophagum","Bacteria"
"11","ncbi","Achromobacter cycloclastes","Bacteria"
"12","ncbi","Acidaminococcus massiliensis","Bacteria"
"13","ncbi","Acidaminococcus timonensis","Bacteria"
"14","ncbi","Acidianus convivator","Archaea"
"15","ncbi","Acidianus hospitalis","Archaea"
"16","ncbi","Acidianus pozzuoliensis","Archaea"
"17","ncbi","Acidibacillus ferrooxidans","Bacteria"
"18","ncbi","Acidibacillus sulfuroxidans","Bacteria"
"19","ncbi","Acidihalobacter ferrooxidans","Bacteria"
"20","ncbi","Acidiphilium sp.OL10-06","Bacteria"
"21","ncbi","Acidiphilium symbioticum","Bacteria"
"22","ncbi","Acidithiobacillus cuprithermicus","Bacteria"
"23","ncbi","Acidithrix ferrooxidans","Bacteria"
"24","ncbi","Acidobacteriaceae isolate",NA
"25","ncbi","Acidocella aromatica","Bacteria"
"26","ncbi","Acidovorax aerodenitrificans","Bacteria"
"27","ncbi","Acidovorax ebreus","Bacteria"
"28","ncbi","Acidovorax wohlfahrtii","Bacteria"
"29","ncbi","Aciduliprofundum boonei","Archaea"
"30","ncbi","Acinetobacter","Bacteria"
"31","ncbi","Acinetobacter idrijaensis","Bacteria"
"32","ncbi","Acinetobacter movanagherensis","Bacteria"
"33","ncbi","Acinetobacter plantarum","Bacteria"
"34","ncbi","Acinetobacter psychrotolerans","Bacteria"
"35","ncbi","Acinetobacter refrigeratoris","Bacteria"
"36","ncbi","Acinetobacter rhizosphaerae","Bacteria"
"37","ncbi","Acinetobacter xiamenensis","Bacteria"
"38","ncbi","Acipenser sinensis","Eukaryota"
"39","ncbi","Acropora cervicornis","Eukaryota"
"40","ncbi","Acropora millepora","Eukaryota"
"41","ncbi","Actinidia chinensis","Eukaryota"
"42","ncbi","Actinoalloteichus alkalophilus","Bacteria"
"43","ncbi","Actinobacillus cf.",NA
"44","ncbi","Actinobacillus porcitonsillarum","Bacteria"
"45","ncbi","Actinobacillus salpingitidis","Bacteria"
"46","ncbi","actinobacterium 01QJ5","Bacteria"
"47","ncbi","actinobacterium 140","Bacteria"
"48","ncbi","actinobacterium 220101","Bacteria"
"49","ncbi","actinobacterium 220103","Bacteria"
"50","ncbi","actinobacterium 220105","Bacteria"
"51","ncbi","actinobacterium 220112","Bacteria"
"52","ncbi","actinobacterium 220145","Bacteria"
"53","ncbi","actinobacterium 220180","Bacteria"
"54","ncbi","actinobacterium 220183","Bacteria"
"55","ncbi","actinobacterium 220214","Bacteria"
"56","ncbi","actinobacterium 220215","Bacteria"
"57","ncbi","actinobacterium 220216","Bacteria"
"58","ncbi","actinobacterium 220217","Bacteria"
"59","ncbi","actinobacterium 220222","Bacteria"
"60","ncbi","actinobacterium 220224","Bacteria"
"61","ncbi","actinobacterium 220225","Bacteria"
"62","ncbi","actinobacterium 220231","Bacteria"
"63","ncbi","actinobacterium 220239","Bacteria"
"64","ncbi","actinobacterium 220290","Bacteria"
"65","ncbi","actinobacterium 220292","Bacteria"
"66","ncbi","actinobacterium 2203103","Bacteria"
"67","ncbi","actinobacterium 2203108","Bacteria"
"68","ncbi","actinobacterium 2203110","Bacteria"
"69","ncbi","actinobacterium 2203117","Bacteria"
"70","ncbi","actinobacterium 220321","Bacteria"
"71","ncbi","actinobacterium 220323","Bacteria"
"72","ncbi","actinobacterium 220328","Bacteria"
"73","ncbi","actinobacterium 220330","Bacteria"
"74","ncbi","actinobacterium 220362","Bacteria"
"75","ncbi","actinobacterium 220381","Bacteria"
"76","ncbi","actinobacterium 220382","Bacteria"
"77","ncbi","actinobacterium 220384","Bacteria"
"78","ncbi","actinobacterium 220385","Bacteria"
"79","ncbi","actinobacterium 220386","Bacteria"
"80","ncbi","actinobacterium 220387","Bacteria"
"81","ncbi","actinobacterium 220389","Bacteria"
"82","ncbi","actinobacterium 220393","Bacteria"
"83","ncbi","actinobacterium 220466","Bacteria"
"84","ncbi","actinobacterium 2205107","Bacteria"
"85","ncbi","actinobacterium 2205129","Bacteria"
"86","ncbi","actinobacterium 220529","Bacteria"
"87","ncbi","actinobacterium 220555","Bacteria"
"88","ncbi","actinobacterium 220646","Bacteria"
"89","ncbi","actinobacterium 220647","Bacteria"
"90","ncbi","actinobacterium 220742","Bacteria"
"91","ncbi","actinobacterium 220794","Bacteria"
"92","ncbi","actinobacterium 2c","Bacteria"
"93","ncbi","actinobacterium '#33",NA
"94","ncbi","actinobacterium 3MR","Bacteria"
"95","ncbi","actinobacterium 4c","Bacteria"
"96","ncbi","actinobacterium '#59",NA
"97","ncbi","actinobacterium 645283","Bacteria"
"98","ncbi","actinobacterium A11","Bacteria"
"99","ncbi","actinobacterium A15","Bacteria"
"100","ncbi","actinobacterium A2","Bacteria"
"101","ncbi","actinobacterium A7","Bacteria"
"102","ncbi","actinobacterium A9","Bacteria"
"103","ncbi","actinobacterium Aac-100","Bacteria"
"104","ncbi","actinobacterium Aac-15","Bacteria"
"105","ncbi","actinobacterium Aac-18","Bacteria"
"106","ncbi","actinobacterium Aac-2","Bacteria"
"107","ncbi","actinobacterium Aac-25","Bacteria"
"108","ncbi","actinobacterium Aac-26","Bacteria"
"109","ncbi","actinobacterium Aac-29","Bacteria"
"110","ncbi","actinobacterium Aac-3","Bacteria"
"111","ncbi","actinobacterium Aac-33","Bacteria"
"112","ncbi","actinobacterium Aac-35","Bacteria"
"113","ncbi","actinobacterium Aac-38","Bacteria"
"114","ncbi","actinobacterium Aac-40","Bacteria"
"115","ncbi","actinobacterium Aac-49","Bacteria"
"116","ncbi","actinobacterium Aac-50","Bacteria"
"117","ncbi","actinobacterium Aac-51","Bacteria"
"118","ncbi","actinobacterium Aac-57","Bacteria"
"119","ncbi","actinobacterium Aac-61","Bacteria"
"120","ncbi","actinobacterium Aac-70","Bacteria"
"121","ncbi","actinobacterium Aac-77","Bacteria"
"122","ncbi","actinobacterium Aac-85","Bacteria"
"123","ncbi","actinobacterium Aac-9","Bacteria"
"124","ncbi","actinobacterium Aac-99","Bacteria"
"125","ncbi","actinobacterium AC11","Bacteria"
"126","ncbi","actinobacterium Ac8","Bacteria"
"127","ncbi","actinobacterium acI-B2","Bacteria"
"128","ncbi","actinobacterium AH251","Bacteria"
"129","ncbi","actinobacterium ANT9067","Bacteria"
"130","ncbi","actinobacterium AS151","Bacteria"
"131","ncbi","actinobacterium ASH",NA
"132","ncbi","actinobacterium ASH151","Bacteria"
"133","ncbi","actinobacterium ASH252","Bacteria"
"134","ncbi","actinobacterium B11","Bacteria"
"135","ncbi","actinobacterium B26","Bacteria"
"136","ncbi","actinobacterium BAL283","Bacteria"
"137","ncbi","actinobacterium BAL285","Bacteria"
"138","ncbi","actinobacterium BAL411","Bacteria"
"139","ncbi","actinobacterium BAL412","Bacteria"
"140","ncbi","actinobacterium BD2","Bacteria"
"141","ncbi","actinobacterium BGR",NA
"142","ncbi","actinobacterium BH0951","Bacteria"
"143","ncbi","actinobacterium BH0954","Bacteria"
"144","ncbi","actinobacterium BSw10170Y","Bacteria"
"145","ncbi","actinobacterium BT2JKDS1","Bacteria"
"146","ncbi","actinobacterium BT2ZKDS1","Bacteria"
"147","ncbi","actinobacterium BTJKDS4","Bacteria"
"148","ncbi","actinobacterium BVF2","Bacteria"
"149","ncbi","actinobacterium C04","Bacteria"
"150","ncbi","actinobacterium C07","Bacteria"
"151","ncbi","actinobacterium C10","Bacteria"
"152","ncbi","actinobacterium C13","Bacteria"
"153","ncbi","actinobacterium C18","Bacteria"
"154","ncbi","actinobacterium C19","Bacteria"
"155","ncbi","actinobacterium C20","Bacteria"
"156","ncbi","actinobacterium C23","Bacteria"
"157","ncbi","actinobacterium C27","Bacteria"
"158","ncbi","actinobacterium C39","Bacteria"
"159","ncbi","actinobacterium C46-Indonesia","Bacteria"
"160","ncbi","actinobacterium C5","Bacteria"
"161","ncbi","actinobacterium C7","Bacteria"
"162","ncbi","actinobacterium C9","Bacteria"
"163","ncbi","actinobacterium CH12i","Bacteria"
"164","ncbi","actinobacterium CH13i","Bacteria"
"165","ncbi","actinobacterium CH20i","Bacteria"
"166","ncbi","actinobacterium CH21i","Bacteria"
"167","ncbi","actinobacterium CH2i","Bacteria"
"168","ncbi","actinobacterium CH4i","Bacteria"
"169","ncbi","actinobacterium CH9","Bacteria"
"170","ncbi","actinobacterium CPCC100076","Bacteria"
"171","ncbi","actinobacterium CR163b","Bacteria"
"172","ncbi","actinobacterium D11","Bacteria"
"173","ncbi","actinobacterium D12","Bacteria"
"174","ncbi","actinobacterium D13","Bacteria"
"175","ncbi","actinobacterium D16","Bacteria"
"176","ncbi","actinobacterium D17","Bacteria"
"177","ncbi","actinobacterium D22","Bacteria"
"178","ncbi","actinobacterium D25","Bacteria"
"179","ncbi","actinobacterium D3","Bacteria"
"180","ncbi","actinobacterium D5","Bacteria"
"181","ncbi","actinobacterium D9","Bacteria"
"182","ncbi","actinobacterium DS3","Bacteria"
"183","ncbi","actinobacterium DSM",NA
"184","ncbi","actinobacterium EC5","Bacteria"
"185","ncbi","actinobacterium ET-25","Bacteria"
"186","ncbi","actinobacterium F3_an4","Bacteria"
"187","ncbi","actinobacterium F3_an5","Bacteria"
"188","ncbi","actinobacterium F3H1_a10","Bacteria"
"189","ncbi","actinobacterium FB-11","Bacteria"
"190","ncbi","actinobacterium FJ3GKDS21","Bacteria"
